,name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
71,ant,1.3,org.apache.tools.ant.taskdefs.KeySubst,8,3,0,3,40,10,0,3,8,0.714285714,271,1,0,0.840909091,0.40625,1,1,32.375,4,1.25,0
72,ant,1.3,org.apache.tools.ant.taskdefs.ExecuteJava,6,1,0,7,26,0,1,6,6,0.65,185,1,3,0,0.305555556,0,0,29.16666667,1,0.8333,0
73,ant,1.3,org.apache.tools.ant.util.regexp.RegexpMatcher,4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.875,0,0,0,1,1,0
74,ant,1.3,org.apache.tools.ant.taskdefs.FixCRLF,8,4,0,7,34,6,0,7,8,0.761904762,626,1,0,0.917647059,0.4375,2,2,76.5,3,1.625,3
75,ant,1.3,org.apache.tools.ant.taskdefs.Execute,21,1,0,25,77,162,10,16,14,0.7375,566,0.916666667,4,0,0.135,0,0,25.38095238,7,1.8095,1
76,ant,1.3,org.apache.tools.ant.taskdefs.Jar,6,5,1,6,33,7,1,5,3,0.7,164,1,0,0.961538462,0.5,3,6,26,2,1,0
77,ant,1.3,org.apache.tools.ant.taskdefs.CallTarget,5,3,0,7,20,2,0,7,5,0.625,76,1,1,0.902439024,0.6,2,2,13.8,2,1,0
78,ant,1.3,org.apache.tools.ant.Project,71,1,0,103,186,2247,99,7,55,0.97244898,2193,0.571428571,0,0,0.127731092,0,0,29.49295775,18,1.5775,1
79,ant,1.3,org.apache.tools.ant.taskdefs.Deltree,4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,0
80,ant,1.3,org.apache.tools.ant.taskdefs.ExecuteWatchdog,8,1,0,6,25,0,5,1,7,0.6,169,1,0,0,0.416666667,0,0,19.5,7,1.875,0
81,ant,1.3,org.apache.tools.ant.util.SourceFileScanner,3,1,0,9,25,1,7,2,3,0,277,1,1,0,0.666666667,0,0,91,14,5.3333,0
82,ant,1.3,org.apache.tools.ant.types.ZipFileSet,9,5,0,10,20,4,3,7,9,0.6875,110,1,0,0.919191919,0.388888889,2,7,10.77777778,3,1.2222,0
83,ant,1.3,org.apache.tools.ant.taskdefs.Copy,17,3,1,12,64,52,1,11,13,0.793269231,642,1,1,0.698113208,0.242647059,1,1,36,11,2,0
84,ant,1.3,org.apache.tools.tar.TarConstants,0,1,0,1,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,0,0
85,ant,1.3,org.apache.tools.tar.TarEntry,31,1,0,6,65,243,4,2,30,0.726666667,747,1,0,0,0.182795699,1,1,22.61290323,4,1.1613,0
86,ant,1.3,org.apache.tools.tar.TarBuffer,21,1,0,2,35,38,2,0,17,0.631818182,617,0.818181818,0,0,0.293650794,0,0,27.85714286,3,0.8571,0
87,ant,1.3,org.apache.tools.ant.types.Environment,3,1,1,5,9,0,3,2,3,0,47,1,0,0,0.666666667,0,0,14.33333333,1,0.6667,0
88,ant,1.3,org.apache.tools.tar.TarOutputStream,15,3,0,3,37,41,1,2,14,0.696428571,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
89,ant,1.3,org.apache.tools.ant.FileScanner,13,1,0,4,13,78,4,0,13,2,13,0,0,0,0.326923077,0,0,0,1,1,0
90,ant,1.3,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,10,1,4,17,81,5,4,13,4,0.783625731,743,1,7,0,0.259259259,0,0,71.4,14,4.2,1
91,ant,1.3,org.apache.tools.tar.TarUtils,8,1,0,1,14,28,1,0,8,2,274,0,0,0,0.45,0,0,33.25,7,2.875,0
92,ant,1.3,org.apache.tools.ant.taskdefs.GZip,6,3,0,4,25,11,0,4,4,0.8,157,1,0,0.880952381,0.4,2,2,24.83333333,1,0.8333,0
93,ant,1.3,org.apache.tools.ant.taskdefs.Touch,8,3,0,7,32,8,3,4,5,0.738095238,300,0.833333333,0,0.860465116,0.357142857,1,1,35.75,1,0.75,0
94,ant,1.3,org.apache.tools.ant.taskdefs.compilers.Jvc,2,2,0,9,19,1,1,8,2,2,120,0,0,0.958333333,1,1,1,59,1,0.5,0
95,ant,1.3,org.apache.tools.ant.taskdefs.Taskdef,8,3,0,8,25,14,1,7,8,0.714285714,157,1,1,0.840909091,0.375,0,0,18.25,2,1.125,0
96,ant,1.3,org.apache.tools.ant.taskdefs.ExecTask,19,3,1,18,56,97,5,13,12,0.814814815,406,1,2,0.672727273,0.190789474,0,0,19.89473684,3,1.0526,0
97,ant,1.3,org.apache.tools.mail.SmtpResponseReader,5,1,0,1,18,0,1,0,3,0.5,96,1,0,0,0.533333333,0,0,17.8,2,1,0
98,ant,1.3,org.apache.tools.ant.taskdefs.Java,22,3,0,17,77,95,0,17,19,0.742857143,439,1,1,0.637931034,0.172727273,1,1,18.72727273,2,1,0
99,ant,1.3,org.apache.tools.ant.types.Commandline,19,1,0,23,46,65,22,3,17,0.416666667,448,1,0,0,0.289473684,0,0,22.47368421,16,2.4211,0
100,ant,1.3,org.apache.tools.ant.taskdefs.Replace,19,4,0,8,69,91,2,8,13,0.777777778,632,1,2,0.8125,0.368421053,1,1,31.89473684,5,1.2632,1
101,ant,1.3,org.apache.tools.ant.taskdefs.Expand,5,4,0,8,45,6,0,8,4,0.75,261,1,0,0.951219512,0.6,4,5,50.8,7,2,0
102,ant,1.3,org.apache.tools.ant.types.CommandlineJava,21,1,0,9,47,48,1,8,21,0.68,277,1,4,0,0.30952381,0,0,11.95238095,7,1.4286,1
103,ant,1.3,org.apache.tools.ant.util.DOMElementWriter,5,1,0,1,35,4,1,0,4,0.583333333,354,1,0,0,0.5,0,0,69.2,8,3.2,0
104,ant,1.3,org.apache.tools.ant.taskdefs.Untar,4,3,0,8,42,2,0,8,4,0.666666667,242,1,0,0.925,0.75,2,3,59,1,0.75,0
105,ant,1.3,org.apache.tools.ant.taskdefs.AntStructure,8,3,0,6,55,24,0,6,3,0.80952381,643,0.5,0,0.840909091,0.303571429,0,0,78.625,3,1.25,0
106,ant,1.3,org.apache.tools.ant.taskdefs.XSLTLiaison,3,1,0,1,3,3,1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
107,ant,1.3,org.apache.tools.ant.taskdefs.PumpStreamHandler,11,1,1,8,17,41,6,2,8,0.7,93,1,0,0,0.666666667,0,0,7.090909091,1,0.7273,0
108,ant,1.3,org.apache.tools.ant.PathTokenizer,3,1,0,2,15,0,2,0,3,0.166666667,100,1,0,0,0.666666667,0,0,31.33333333,2,1,0
109,ant,1.3,org.apache.tools.ant.util.MergingMapper,4,1,0,4,5,0,3,1,4,0.333333333,24,1,0,0,0.875,0,0,4.75,1,0.75,0
110,ant,1.3,org.apache.tools.ant.DesirableFilter,2,1,0,0,6,1,0,0,2,2,45,0,0,0,0.666666667,0,0,21.5,8,4,0
111,ant,1.3,org.apache.tools.ant.taskdefs.GenerateKey,14,3,0,6,33,65,0,6,14,0.91025641,404,1,1,0.74,0.595238095,2,3,27,2,1,0
112,ant,1.3,org.apache.tools.ant.taskdefs.Filter,6,3,0,4,24,5,0,4,5,0.733333333,153,1,0,0.880952381,0.5,0,0,24,1,0.8333,0
113,ant,1.3,org.apache.tools.ant.taskdefs.Chmod,14,5,0,10,43,15,0,10,12,0.615384615,168,1,1,0.891666667,0.392857143,3,5,10.85714286,5,1.3571,0
114,ant,1.3,org.apache.tools.ant.Target,19,1,0,18,47,97,16,5,16,0.833333333,273,1,1,0,0.305263158,0,0,13,3,1.4211,1
115,ant,1.3,org.apache.tools.ant.taskdefs.compilers.Javac12,3,2,0,8,18,3,1,7,2,1,132,0,0,0.92,0.5,0,0,42,1,0.6667,0
116,ant,1.3,org.apache.tools.ant.Task,19,1,34,78,23,119,75,5,16,0.873015873,125,1,4,0,0.218045113,0,0,5.210526316,2,1,0
117,ant,1.3,org.apache.tools.ant.taskdefs.UpToDate,7,4,0,11,32,0,0,11,6,0.666666667,189,1,1,0.928571429,0.342857143,1,1,25.42857143,3,1.1429,0
118,ant,1.3,org.apache.tools.ant.TaskAdapter,4,3,0,6,15,0,4,2,4,0.333333333,82,0,0,0.925,0.625,1,1,19.25,1,0.75,0
119,ant,1.3,org.apache.tools.ant.taskdefs.Copydir,8,4,0,6,35,4,0,6,7,0.714285714,265,1,0,0.917647059,0.46875,3,3,31.375,5,1.375,0
120,ant,1.3,org.apache.tools.ant.taskdefs.Javadoc,65,3,0,21,155,1670,6,21,59,0.9171875,1504,1,5,0.37,0.244140625,3,3,21.83076923,10,1.5231,0
121,ant,1.3,org.apache.tools.ant.BuildException,14,4,0,99,28,0,98,1,14,0.384615385,153,1,1,0.65,0.333333333,1,2,9.785714286,2,0.6429,0
122,ant,1.3,org.apache.tools.ant.IntrospectionHelper,14,1,0,24,63,63,20,20,9,0.841346154,822,0.4375,0,0,0.333333333,0,0,56.57142857,24,2.7857,2
123,ant,1.3,org.apache.tools.ant.NoBannerLogger,4,2,0,3,16,0,0,3,4,0.333333333,59,1,0,0.842105263,0.875,1,1,13.5,5,1.75,0
124,ant,1.3,org.apache.tools.mail.MailMessage,27,1,0,3,63,297,1,2,10,0.778846154,527,0,2,0,0.37962963,0,0,18.22222222,11,1.4444,0
0,ant,1.4,org.apache.tools.ant.taskdefs.PathConvert,14,3,0,8,41,33,1,8,10,0.760683761,385,1,2,0.74,0.357142857,1,1,25.85714286,4,1.5714,0
1,ant,1.4,org.apache.tools.ant.taskdefs.Untar,5,3,0,9,43,0,0,9,5,0.666666667,276,1,0,0.902439024,0.533333333,2,3,53.6,1,0.8,0
2,ant,1.4,org.apache.tools.ant.taskdefs.PumpStreamHandler,13,1,1,8,20,46,6,2,8,0.666666667,111,1,0,0,0.615384615,0,0,7.230769231,1,0.7692,0
3,ant,1.4,org.apache.tools.ant.taskdefs.Copydir,8,4,0,7,35,4,0,7,7,0.714285714,265,1,0,0.917647059,0.46875,3,3,31.375,5,1.375,0
4,ant,1.4,org.apache.tools.tar.TarEntry,31,1,0,6,65,243,4,2,30,0.726666667,747,1,0,0,0.182795699,1,1,22.61290323,4,1.1613,0
5,ant,1.4,org.apache.tools.tar.TarOutputStream,15,3,0,3,37,41,1,2,14,0.696428571,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
6,ant,1.4,org.apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,21,44,1,2,5,0.805194805,147,1,1,0,0.261904762,0,0,10.66666667,4,1.25,0
7,ant,1.4,org.apache.tools.ant.taskdefs.compilers.Sj,2,2,0,6,9,1,1,5,2,2,33,0,0,0.958333333,1,0,0,15.5,1,0.5,0
8,ant,1.4,org.apache.tools.ant.taskdefs.Filter,6,3,0,6,16,5,0,6,5,0.733333333,95,1,0,0.880952381,0.5,0,0,14.33333333,1,0.8333,0
9,ant,1.4,org.apache.tools.ant.taskdefs.ExecuteOn,15,4,2,18,55,37,2,16,9,0.728571429,730,1,4,0.846153846,0.193333333,3,7,47,12,2.4667,1
10,ant,1.4,org.apache.tools.ant.taskdefs.Echo,7,3,0,8,22,0,0,8,7,0.625,147,1,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
11,ant,1.4,org.apache.tools.ant.taskdefs.SQLExec,26,3,0,15,108,233,1,15,22,0.902608696,1156,1,2,0.596774194,0.16025641,3,3,42.57692308,7,1.2692,1
12,ant,1.4,org.apache.tools.ant.taskdefs.Parallel,3,3,0,5,22,0,1,5,3,0,149,1,0,0.948717949,0.666666667,0,0,48.33333333,1,0.6667,0
13,ant,1.4,org.apache.tools.ant.types.Commandline,19,1,0,30,46,65,29,3,17,0.416666667,448,1,0,0,0.289473684,0,0,22.47368421,16,2.4211,0
14,ant,1.4,org.apache.tools.ant.taskdefs.DependSet,6,4,0,8,34,0,0,8,6,0.6,493,1,0,0.939759036,0.555555556,1,1,80.5,1,0.8333,2
15,ant,1.4,org.apache.tools.ant.taskdefs.LogStreamHandler,2,2,0,10,9,1,6,4,2,2,31,0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
16,ant,1.4,org.apache.tools.ant.types.Path,26,3,0,33,80,201,26,8,20,0.573333333,719,0.666666667,2,0.566037736,0.152727273,2,11,26.53846154,14,2.2692,0
17,ant,1.4,org.apache.tools.ant.taskdefs.Sequential,3,3,0,3,10,0,0,3,3,0,32,1,0,0.948717949,0.666666667,0,0,9.333333333,1,0.6667,0
18,ant,1.4,org.apache.tools.ant.taskdefs.compilers.Gcj,3,2,0,9,22,3,1,8,2,2,128,0,0,0.92,1,1,1,41.66666667,9,3.3333,0
19,ant,1.4,org.apache.tools.ant.taskdefs.Patch,9,3,0,9,29,0,0,9,9,0.583333333,168,1,1,0.822222222,0.444444444,0,0,17.33333333,2,1.4444,0
20,ant,1.4,org.apache.tools.ant.taskdefs.GUnzip,4,3,0,5,32,2,0,5,4,0.666666667,215,1,0,0.925,0.75,1,1,52.25,1,0.75,0
21,ant,1.4,org.apache.tools.ant.taskdefs.StreamPumper,2,1,0,1,6,0,1,0,2,1,39,1,0,0,0.666666667,0,0,16.5,2,1,0
22,ant,1.4,org.apache.tools.ant.PathTokenizer,3,1,0,2,15,0,2,0,3,0.166666667,100,1,0,0,0.666666667,0,0,31.33333333,2,1,0
23,ant,1.4,org.apache.tools.ant.taskdefs.Definer,14,3,2,11,41,67,3,8,11,0.846153846,366,1,1,0.74,0.223214286,1,1,24.71428571,4,1.2857,0
24,ant,1.4,org.apache.tools.ant.ProjectHelper,19,1,0,24,81,147,17,8,7,0.861111111,560,1,1,0,0.171296296,0,0,28.15789474,2,1,0
25,ant,1.4,org.apache.tools.ant.taskdefs.KeySubst,8,3,0,2,39,10,0,2,8,0.714285714,265,1,0,0.840909091,0.325,1,1,31.625,4,1.25,0
26,ant,1.4,org.apache.tools.ant.DirectoryScanner,23,1,1,25,52,181,23,2,14,0.731404959,1489,1,0,0,0.290909091,0,0,63.26086957,35,6.087,0
27,ant,1.4,org.apache.tools.ant.types.FilterSetCollection,5,1,0,5,13,0,4,1,5,0,69,1,0,0,0.533333333,0,0,12.6,3,1.2,0
28,ant,1.4,org.apache.tools.ant.taskdefs.GenerateKey,14,3,0,7,33,65,0,7,14,0.91025641,404,1,1,0.74,0.595238095,2,3,27,2,1,1
29,ant,1.4,org.apache.tools.ant.taskdefs.compilers.JavacExternal,2,2,0,6,11,1,1,5,2,2,37,0,0,0.958333333,1,0,0,17.5,1,0.5,0
30,ant,1.4,org.apache.tools.ant.taskdefs.Transform,1,5,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
31,ant,1.4,org.apache.tools.ant.util.GlobPatternMapper,5,1,0,2,15,0,1,1,4,0.5,137,1,0,0,0.9,0,0,25.2,4,1.8,0
32,ant,1.4,org.apache.tools.ant.util.MergingMapper,4,1,0,4,5,0,3,1,4,0.333333333,24,1,0,0,0.875,0,0,4.75,1,0.75,0
33,ant,1.4,org.apache.tools.ant.taskdefs.Execute,21,1,0,27,78,158,11,17,15,0.735714286,659,0.928571429,5,0,0.145,0,0,29.71428571,7,1.6667,1
34,ant,1.4,org.apache.tools.ant.taskdefs.MatchingTask,14,3,12,20,41,0,13,7,13,0.461538462,174,1,1,0.74,0.392857143,0,0,11.28571429,6,1.5,0
35,ant,1.4,org.apache.tools.ant.util.IdentityMapper,4,1,0,2,5,6,1,1,4,2,16,0,0,0,0.875,0,0,3,1,0.75,0
